player_name,age,team_abbreviation,draft_round,draft_number,player_height,player_weight,ptsseason1,ptsseason2,ptsseason3,ptsseason4,ptsseason5
Jacque Vaughn,23,UTA,1,27,185.42,86.18248,3.1,2.3,3.7,6.1,6.6
Jae Crowder,22,DAL,2,34,198.12,106.59412,5,4.6,7.7,14.2,13.9
Jahidi White,23,WAS,2,43,205.74,131.54168,2.5,7.1,8.6,5.4,4.2
Jahlil Okafor,20,PHI,1,3,210.82,124.7378,17.5,11.8,6.3,8.2,8.1
Jake Layman,23,POR,2,47,205.74,95.25432,2.2,1,7.6,9.1,5.1
Jake Tsakalidis,22,PHX,1,25,218.44,129.27372,4.5,7.3,4.9,4.3,2.5
Jake Voskuhl,23,CHI,2,33,210.82,111.13004,1.9,5,3.8,6.6,2.1
Jakob Poeltl,21,TOR,1,9,213.36,104.32616,3.1,6.9,5.5,5.6,8.6
Jalen Brunson,22,DAL,2,33,190.5,86.18248,9.3,8.2,12.6,16.3,24
Jamaal Magloire,23,CHA,1,19,208.28,117.93392,4.6,8.5,10.3,13.6,11.7
Jamaal Tinsley,24,IND,1,27,190.5,88.45044,9.4,7.8,8.3,15.4,9.3
Jamal Crawford,21,CHI,1,8,195.58,90.7184,4.6,9.3,10.7,17.3,17.7
Jamal Murray,20,DEN,1,7,193.04,93.893544,9.9,16.7,18.2,18.5,21.2
Jamal Sampson,20,MIL,2,46,210.82,106.59412,0,2.9,3.4,0.8,1.1
Jameer Nelson,23,ORL,1,20,182.88,86.18248,8.7,14.6,13,10.9,16.7
James Harden,20,OKC,1,3,195.58,99.79024,9.9,12.2,16.8,25.9,25.4
James Johnson,23,CHI,1,16,205.74,111.13004,3.9,7.1,9.1,5.1,7.4
James Jones,23,IND,2,49,203.2,97.52228,1.2,4.9,9.3,6.4,8
James Posey,23,DEN,1,18,203.2,97.52228,8.2,8.1,10.7,10.8,13.7
Jamie Feick,22,SAS,2,48,203.2,115.66596,3.7,2.3,6.3,5.7,3.7
Jared Dudley,22,CHA,1,22,200.66,102.0582,5.8,5.5,8.2,10.6,12.7
Jared Jeffries,21,WAS,1,11,210.82,104.32616,4,5.7,6.8,6.4,4.1
Jared Sullinger,21,BOS,1,21,205.74,117.93392,6,13.3,13.3,10.3,3.4
Jaren Jackson Jr.,19,MEM,1,4,210.82,109.769264,13.8,17.4,14.4,16.3,18.6
Jarred Vanderbilt,20,DEN,2,41,205.74,97.068688,1.4,1.1,5.4,6.9,7.9
Jarrett Allen,20,BKN,1,22,210.82,106.140528,8.2,10.9,11.1,12.8,16.1
Jarrett Jack,22,POR,1,22,190.5,91.625584,6.7,12,9.9,13.1,11.4
Jarron Collins,23,UTA,2,52,210.82,114.305184,6.4,5.5,6,4.3,5.3
Jarvis Hayes,22,WAS,1,10,200.66,99.79024,9.6,10.2,9.3,7.2,6.7
Jason Collier,23,HOU,1,15,213.36,117.93392,3.1,4.2,2.8,11.3,5.7
Jason Collins,23,BKN,1,18,213.36,117.93392,4.5,5.7,5.9,6.4,3.6
Jason Kapono,23,CLE,2,31,203.2,96.615096,3.5,8.5,4.1,10.9,7.2
Jason Maxiell,23,DET,1,26,200.66,117.93392,2.3,5,7.9,5.8,6.8
Jason Richardson,21,GSW,1,5,198.12,99.79024,14.4,15.6,18.7,21.7,23.2
Jason Terry,22,ATL,1,10,187.96,78.017824,8.1,19.7,19.3,17.2,16.8
Jason Thompson,22,SAC,1,12,210.82,113.398,11.1,12.5,8.8,9.1,10.9
Jason Williams,23,SAC,1,7,185.42,86.18248,12.8,12.3,9.4,14.8,12.1
Jaylen Brown,20,BOS,1,3,200.66,102.0582,6.6,14.5,13,20.3,24.7
Jayson Tatum,20,BOS,1,3,203.2,92.98636,13.9,15.7,23.4,26.4,26.9
Jeff Foster,23,IND,1,21,210.82,107.954896,2.3,3.5,5.7,2.1,6.1
Jeff Teague,22,ATL,1,19,187.96,81.64656,3.2,5.2,12.6,14.6,16.5
Jeff Withey,24,NOP,2,39,213.36,106.59412,3.3,2.6,4.3,2.9,1.5
Jelani McCoy,21,OKC,2,33,208.28,111.13004,5.1,4.3,4.5,1.2,6.8
Jerami Grant,21,PHI,2,39,203.2,95.25432,6.3,9.7,5.5,8.4,13.6
Jeremy Evans,23,UTA,2,55,205.74,88.904032,3.6,2.1,2,6.1,2.4
Jeremy Lamb,21,OKC,1,12,195.58,81.64656,3.1,8.5,6.3,8.8,9.7
Jerian Grant,23,NYK,1,19,193.04,88.45044,5.6,5.9,8.4,4.2,4.5
Jermaine O'Neal,18,POR,1,17,210.82,102.511792,4.1,4.5,2.5,3.9,12.9
Jerome Moiso,23,BOS,1,11,208.28,105.233344,1.5,1.1,4,2.9,1.4
Jerome Williams,24,DET,1,26,205.74,93.439952,1.5,5.3,7.1,8.4,6.3
Jerryd Bayless,20,POR,1,11,190.5,90.7184,4.3,8.5,9.2,11.4,8.7
Jevon Carter,23,MEM,2,32,187.96,88.904032,4.4,4.9,4.1,4.2,8
Jimmer Fredette,23,SAC,1,10,187.96,88.45044,7.6,7.2,5.6,3.6,1.5
Jimmy Butler,22,CHI,1,30,200.66,99.79024,2.6,8.6,13.1,20,20.9
Joakim Noah,23,CHI,1,9,210.82,105.233344,6.6,6.7,10.7,11.7,10.2
Jodie Meeks,22,PHI,2,41,193.04,94.347136,4.7,10.5,8.4,7.9,15.7
Joe Harris,23,CLE,2,33,198.12,102.0582,2.7,0.6,8.2,10.8,13.7
Joe Johnson,21,PHX,1,10,200.66,102.0582,7.5,9.8,16.7,17.1,20.2
Joel Przybilla,21,MIL,1,9,215.9,115.66596,0.8,2.7,1.5,2.9,6.4
Joey Graham,24,TOR,1,16,200.66,102.0582,6.7,6.4,3.6,7.7,4.3
Johan Petro,20,OKC,1,25,213.36,112.037224,5.2,6.2,6,3.3,3.4
John Collins,20,ATL,1,19,208.28,106.59412,10.5,19.5,21.6,17.6,16.2
John Henson,22,MIL,1,14,210.82,99.79024,6,11.1,7,7,6.8
John Jenkins,22,ATL,1,23,193.04,97.52228,6.1,3.1,5.6,4.1,1.8
John Salmons,23,PHI,1,26,200.66,95.25432,2.1,5.8,4.1,7.5,8.5
